molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL327963,COC(=O)C1=C(c2ccc(F)cc2)CC2CCC1C2,390.0,active
CHEMBL333667,O=C(Cc1ccccc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,80.0,active
CHEMBL87567,COC(=O)C1C(c2ccc3ccccc3c2)CC2CCC1N2C,0.49,active
CHEMBL102144,COC(=O)c1ccccc1-c1ccc(-c2ccc(Br)cc2)cc1,1.0,active
CHEMBL122452,CN(CCCN(C)CCc1ccccc1)CCOC(c1ccccc1)c1ccccc1,349.0,active
CHEMBL2112594,O=C(CCc1ccccc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,90.0,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,190.0,active
CHEMBL318592,COC(=O)C1C2CCC(C2)CC1c1ccccc1,787.0,active
CHEMBL318138,COC(=O)[C@H]1C(c2ccc3ccccc3c2)CC2CCC1N2C,0.57,active
CHEMBL121027,CN(CCOC(c1ccccc1)c1ccccc1)CCN(C)CCc1ccc(F)cc1,119.0,active
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,0.4,intermediate
CHEMBL121460,CN(CCOC(c1ccc(F)cc1)c1ccc(F)cc1)CCN(C)CCOC(c1ccc(F)cc1)c1ccc(F)cc1,830.0,active
CHEMBL123830,O=C(Cc1ccc(F)cc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,47.0,active
CHEMBL388545,COC(=O)[C@@H]1C2CCC(C2)C[C@@H]1c1ccc(Cl)c(Cl)c1,14.0,active
CHEMBL100010,COC(=O)C1=C(c2ccccc2)CC2CCC1C2,3816.0,inactive
CHEMBL124222,O=C1CN(CCOC(c2ccccc2)c2ccccc2)CCN1CCCc1ccccc1,10.0,active
CHEMBL103936,COC(=O)c1ccccc1-c1ccc2ccccc2c1,145.0,inactive
